Date,Open,High,Low,Close,Adj Close,Volume
1995-02-21,3963.969970703125,3963.969970703125,3963.969970703125,3963.969970703125,3963.969970703125,0
1995-02-22,3973.050048828125,3973.050048828125,3973.050048828125,3973.050048828125,3973.050048828125,0
1995-02-23,4003.330078125,4003.330078125,4003.330078125,4003.330078125,4003.330078125,0
1995-02-24,4011.739990234375,4011.739990234375,4011.739990234375,4011.739990234375,4011.739990234375,0
1995-02-27,3988.570068359375,3988.570068359375,3988.570068359375,3988.570068359375,3988.570068359375,0
1995-02-28,4011.050048828125,4011.050048828125,4011.050048828125,4011.050048828125,4011.050048828125,0
1995-03-01,3994.800048828125,3994.800048828125,3994.800048828125,3994.800048828125,3994.800048828125,0
1995-03-02,3979.919921875,3979.919921875,3979.919921875,3979.919921875,3979.919921875,0
1995-03-03,3989.610107421875,3989.610107421875,3989.610107421875,3989.610107421875,3989.610107421875,0
1995-03-06,3997.56005859375,3997.56005859375,3997.56005859375,3997.56005859375,3997.56005859375,0
1995-03-07,3962.6298828125,3962.6298828125,3962.6298828125,3962.6298828125,3962.6298828125,0
1995-03-08,3979.22998046875,3979.22998046875,3979.22998046875,3979.22998046875,3979.22998046875,0
1995-03-09,3983.3798828125,3983.3798828125,3983.3798828125,3983.3798828125,3983.3798828125,0
1995-03-10,4035.60009765625,4035.60009765625,4035.60009765625,4035.60009765625,4035.60009765625,0
1995-03-13,4025.22998046875,4025.22998046875,4025.22998046875,4025.22998046875,4025.22998046875,0
1995-03-14,4048.75,4048.75,4048.75,4048.75,4048.75,0
1995-03-15,4038.3701171875,4038.3701171875,4038.3701171875,4038.3701171875,4038.3701171875,0
1995-03-16,4069.14990234375,4069.14990234375,4069.14990234375,4069.14990234375,4069.14990234375,0
1995-03-17,4073.64990234375,4073.64990234375,4073.64990234375,4073.64990234375,4073.64990234375,0
1995-03-20,4083.679931640625,4083.679931640625,4083.679931640625,4083.679931640625,4083.679931640625,0
1995-03-21,4072.610107421875,4072.610107421875,4072.610107421875,4072.610107421875,4072.610107421875,0
1995-03-22,4082.97998046875,4082.97998046875,4082.97998046875,4082.97998046875,4082.97998046875,0
1995-03-23,4087.830078125,4087.830078125,4087.830078125,4087.830078125,4087.830078125,0
1995-03-24,4138.66015625,4138.66015625,4138.66015625,4138.66015625,4138.66015625,0
1995-03-27,4157.33984375,4157.33984375,4157.33984375,4157.33984375,4157.33984375,0
1995-03-28,4151.81005859375,4151.81005859375,4151.81005859375,4151.81005859375,4151.81005859375,0
1995-03-29,4160.7998046875,4160.7998046875,4160.7998046875,4160.7998046875,4160.7998046875,0
1995-03-30,4172.56005859375,4172.56005859375,4172.56005859375,4172.56005859375,4172.56005859375,0
1995-03-31,4157.68994140625,4157.68994140625,4157.68994140625,4157.68994140625,4157.68994140625,0
1995-04-03,4168.41015625,4168.41015625,4168.41015625,4168.41015625,4168.41015625,0
1995-04-04,4201.60986328125,4201.60986328125,4201.60986328125,4201.60986328125,4201.60986328125,0
1995-04-05,4200.56982421875,4200.56982421875,4200.56982421875,4200.56982421875,4200.56982421875,0
1995-04-06,4205.41015625,4205.41015625,4205.41015625,4205.41015625,4205.41015625,0
1995-04-07,4192.6201171875,4192.6201171875,4192.6201171875,4192.6201171875,4192.6201171875,0
1995-04-10,4198.14990234375,4198.14990234375,4198.14990234375,4198.14990234375,4198.14990234375,0
1995-04-11,4187.080078125,4187.080078125,4187.080078125,4187.080078125,4187.080078125,0
1995-04-12,4197.7998046875,4197.7998046875,4197.7998046875,4197.7998046875,4197.7998046875,0
1995-04-13,4208.18017578125,4208.18017578125,4208.18017578125,4208.18017578125,4208.18017578125,0
1995-04-17,4195.3798828125,4195.3798828125,4195.3798828125,4195.3798828125,4195.3798828125,0
1995-04-18,4179.1298828125,4179.1298828125,4179.1298828125,4179.1298828125,4179.1298828125,0
1995-04-19,4207.490234375,4207.490234375,4207.490234375,4207.490234375,4207.490234375,0
1995-04-20,4230.66015625,4230.66015625,4230.66015625,4230.66015625,4230.66015625,0
1995-04-21,4270.080078125,4270.080078125,4270.080078125,4270.080078125,4270.080078125,0
1995-04-24,4303.97998046875,4303.97998046875,4303.97998046875,4303.97998046875,4303.97998046875,0
1995-04-25,4300.169921875,4300.169921875,4300.169921875,4300.169921875,4300.169921875,0
1995-04-26,4299.830078125,4299.830078125,4299.830078125,4299.830078125,4299.830078125,0
1995-04-27,4314.7001953125,4314.7001953125,4314.7001953125,4314.7001953125,4314.7001953125,0
1995-04-28,4321.27001953125,4321.27001953125,4321.27001953125,4321.27001953125,4321.27001953125,0
1995-05-01,4316.080078125,4316.080078125,4316.080078125,4316.080078125,4316.080078125,0
1995-05-02,4328.8798828125,4328.8798828125,4328.8798828125,4328.8798828125,4328.8798828125,0
1995-05-03,4373.14013671875,4373.14013671875,4373.14013671875,4373.14013671875,4373.14013671875,0
1995-05-04,4359.66015625,4359.66015625,4359.66015625,4359.66015625,4359.66015625,0
1995-05-05,4343.39990234375,4343.39990234375,4343.39990234375,4343.39990234375,4343.39990234375,0
1995-05-08,4383.85986328125,4383.85986328125,4383.85986328125,4383.85986328125,4383.85986328125,0
1995-05-09,4390.77978515625,4390.77978515625,4390.77978515625,4390.77978515625,4390.77978515625,0
1995-05-10,4404.6201171875,4404.6201171875,4404.6201171875,4404.6201171875,4404.6201171875,0
1995-05-11,4411.18994140625,4411.18994140625,4411.18994140625,4411.18994140625,4411.18994140625,0
1995-05-12,4430.5498046875,4430.5498046875,4430.5498046875,4430.5498046875,4430.5498046875,0
1995-05-15,4437.47021484375,4437.47021484375,4437.47021484375,4437.47021484375,4437.47021484375,0
1995-05-16,4435.0498046875,4435.0498046875,4435.0498046875,4435.0498046875,4435.0498046875,0
1995-05-17,4422.60009765625,4422.60009765625,4422.60009765625,4422.60009765625,4422.60009765625,0
1995-05-18,4340.6298828125,4340.6298828125,4340.6298828125,4340.6298828125,4340.6298828125,0
1995-05-19,4341.330078125,4341.330078125,4341.330078125,4341.330078125,4341.330078125,0
1995-05-22,4395.6201171875,4395.6201171875,4395.6201171875,4395.6201171875,4395.6201171875,0
1995-05-23,4436.43017578125,4436.43017578125,4436.43017578125,4436.43017578125,4436.43017578125,0
1995-05-24,4438.16015625,4438.16015625,4438.16015625,4438.16015625,4438.16015625,0
1995-05-25,4412.22021484375,4412.22021484375,4412.22021484375,4412.22021484375,4412.22021484375,0
1995-05-26,4368.990234375,4368.990234375,4368.990234375,4368.990234375,4368.990234375,0
1995-05-30,4378.68017578125,4378.68017578125,4378.68017578125,4378.68017578125,4378.68017578125,0
1995-05-31,4465.14013671875,4465.14013671875,4465.14013671875,4465.14013671875,4465.14013671875,0
1995-06-01,4472.75,4472.75,4472.75,4472.75,4472.75,0
1995-06-02,4444.39013671875,4444.39013671875,4444.39013671875,4444.39013671875,4444.39013671875,0
1995-06-05,4476.5498046875,4476.5498046875,4476.5498046875,4476.5498046875,4476.5498046875,0
1995-06-06,4485.2001953125,4485.2001953125,4485.2001953125,4485.2001953125,4485.2001953125,0
1995-06-07,4462.02001953125,4462.02001953125,4462.02001953125,4462.02001953125,4462.02001953125,0
1995-06-08,4458.56982421875,4458.56982421875,4458.56982421875,4458.56982421875,4458.56982421875,0
1995-06-09,4423.97998046875,4423.97998046875,4423.97998046875,4423.97998046875,4423.97998046875,0
1995-06-12,4446.4599609375,4446.4599609375,4446.4599609375,4446.4599609375,4446.4599609375,0
1995-06-13,4484.5,4484.5,4484.5,4484.5,4484.5,0
1995-06-14,4491.080078125,4491.080078125,4491.080078125,4491.080078125,4491.080078125,0
1995-06-15,4496.259765625,4496.259765625,4496.259765625,4496.259765625,4496.259765625,0
1995-06-16,4510.7900390625,4510.7900390625,4510.7900390625,4510.7900390625,4510.7900390625,0
1995-06-19,4553.669921875,4553.669921875,4553.669921875,4553.669921875,4553.669921875,0
1995-06-20,4550.56005859375,4550.56005859375,4550.56005859375,4550.56005859375,4550.56005859375,0
1995-06-21,4547.10009765625,4547.10009765625,4547.10009765625,4547.10009765625,4547.10009765625,0
1995-06-22,4589.64013671875,4589.64013671875,4589.64013671875,4589.64013671875,4589.64013671875,0
